MT-LIPCAR
MT-ATP6
MT-ATP8
MT-CO1
MT-CO2
MT-CO3
MT-CYB
MT-ND1
MT-ND2
MT-ND3
MT-ND4
MT-ND4L
MT-ND5
MT-ND6
MT-7SDNA
MT-ATT
MT-CSB1
MT-CSB2
MT-CSB3
MT-HPR
MT-HSP1
MT-HSP2
MT-LSP
MT-OHR
MT-OLR
MT-RNR3
MT-TAS
MT-TER
MT-TFH
MT-TFL
MT-TFX
MT-TFY
MT-RNR1
MT-RNR2
MT-TA
MT-TC
MT-TD
MT-TE
MT-TF
MT-TG
MT-TH
MT-TI
MT-TK
MT-TL1
MT-TL2
MT-TM
MT-TN
MT-TP
MT-TQ
MT-TR
MT-TS1
MT-TS2
MT-TT
MT-TV
MT-TW
MT-TY
