mt-Co2
mt-Co1
mt-Nd6
mt-Nd2
mt-Cytb
mt-Atp8
mt-Atp6
mt-Nd4
mt-Nd5
mt-Co3
mt-Nd1
mt-Nd4l
mt-Nd3
mt-Rnr1
mt-Rnr2
mt-Tl1
mt-Tk
mt-Tr
mt-Ta
mt-Ty
mt-Tw
mt-Tv
mt-Tt
mt-Ts2
mt-Ts1
mt-Tq
mt-Tp
mt-Tn
mt-Tm
mt-Tl2
mt-Ti
mt-Th
mt-Tg
mt-Tf
mt-Te
mt-Td
mt-Tc
